District,Season,Sowing_Year,Sowing_DOY,SM_sow,RH_sow,Tmax_sow,Tmin_sow,Rain_30d,Tavg_30d,GDD_30d,SM_30d,RH_30d,Harvest_Day
Coimbatore,Kar,1981,135,0.56,68.84,34.26,20.99,102.68,28.004666666666665,18.00466666666666,0.5306666666666666,69.82033333333334,135
Coimbatore,Kar,1995,135,0.6,78.55,29.61,22.12,125.5,28.228666666666665,18.228666666666665,0.4593333333333333,67.93100000000001,131
Coimbatore,Kar,2009,135,0.54,76.97,30.71,23.46,48.150000000000006,28.466500000000003,18.4665,0.4716666666666667,70.01833333333335,130
Coimbatore,Kar,2024,136,0.57,70.18,35.09,23.43,49.95,30.87816666666667,20.87816666666667,0.3686666666666667,59.95033333333335,127
Coimbatore,Kuruvai,1981,152,0.63,85.28,28.6,22.34,125.02,27.2085,17.2085,0.5753333333333334,74.7183333333333,140
Coimbatore,Kuruvai,1995,152,0.59,72.56,33.32,20.8,140.60000000000005,26.726166666666675,16.726166666666668,0.5800000000000001,76.69166666666665,133
Coimbatore,Kuruvai,2009,152,0.61,78.6,31.48,22.16,119.43,27.00833333333333,17.008333333333333,0.5589999999999999,77.13466666666669,133
Coimbatore,Kuruvai,2024,153,0.74,89.23,29.17,24.02,228.79,27.882166666666667,17.882166666666663,0.5909999999999999,76.95166666666665,129
Coimbatore,Late_Thaladi,1981,319,0.88,88.5,26.43,18.17,225.12000000000003,23.170000000000005,13.169999999999998,0.8746666666666664,89.19233333333334,137
Coimbatore,Late_Thaladi,1995,319,0.7,68.76,28.42,16.45,136.11,24.229,14.228999999999996,0.6963333333333332,83.95433333333334,133
Coimbatore,Late_Thaladi,2009,319,0.84,93.37,23.35,19.48,173.45999999999998,24.970833333333328,14.970833333333331,0.6673333333333333,79.26933333333334,125
Coimbatore,Late_Thaladi,2024,320,0.84,91.37,26.65,20.88,174.75,24.2205,14.2205,0.8453333333333332,86.67233333333334,132
Coimbatore,Navarai,1981,15,0.56,76.94,28.92,17.76,4.709999999999998,23.361071428571428,13.36107142857143,0.567857142857143,69.57857142857144,113
Coimbatore,Navarai,1995,15,0.57,79.92,28.26,19.57,23.930000000000003,22.916000000000004,12.916,0.5899999999999999,74.87866666666666,110
Coimbatore,Navarai,2010,15,0.55,70.19,31.46,18.68,14.23,24.082666666666668,14.082666666666665,0.5836666666666666,76.23933333333333,107
Coimbatore,Navarai,2025,15,0.61,78.08,28.49,18.59,12.66,22.80166666666667,12.801666666666666,0.7013333333333335,82.69666666666667,115
Coimbatore,Samba,1981,227,0.82,87.3,26.73,20.38,237.35,23.634,13.634000000000002,0.8359999999999999,88.784,151
